"","Mouse_Ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Symbol"
"1","ENSMUSG00000000001",8937.45484289659,0.328402302150113,0.232198999840868,1.41431402536262,0.157269720713249,0.321532800039373,NA
"2","ENSMUSG00000000028",409.543394483481,-1.12705689413855,0.439373982283993,-2.56514254275999,0.0103133426545924,0.0535808801271248,NA
"3","ENSMUSG00000000049",24.39981129602,2.81461894828391,1.90451484761112,1.47786663454704,0.139443478515613,0.297474434253235,NA
"4","ENSMUSG00000000056",2160.58577072594,0.547715672082955,0.359630965429608,1.52299363718212,0.12776029731381,0.280680957004294,NA
"5","ENSMUSG00000000058",21457.5967790581,-1.14835789796864,0.663869073561414,-1.72979574392301,0.083666775137858,0.215246579304158,NA
"6","ENSMUSG00000000078",13887.7921336011,-1.23880893549315,0.418360945458825,-2.96110081244442,0.00306541582407205,0.0226391062810298,"KLF6"
"7","ENSMUSG00000000085",2478.12734606728,0.497984960018828,0.287800442567416,1.73031339207263,0.0835742981319247,0.215246579304158,NA
"8","ENSMUSG00000000088",1195.59412789115,-0.196142501134156,0.308671418890104,-0.635441084371948,0.525140780016776,0.688643931127431,NA
"9","ENSMUSG00000000093",4118.55155512896,4.29516370165829,0.599724568958729,7.1618938492311,7.95700283329627e-13,1.1556671308146e-10,"TBX2"
"10","ENSMUSG00000000126",296.538452499321,-0.0474047336415672,0.67193314693274,-0.0705497769502245,0.943756082938496,0.969724309997778,NA
"11","ENSMUSG00000000127",1396.46441634513,-0.425773038539106,0.206413944463073,-2.06271451110841,0.039139760393547,0.1320433856703,NA
"12","ENSMUSG00000000131",6246.59742898691,-0.0605571924369532,0.215810564921434,-0.280603465631996,0.779014557602731,0.872173888000496,NA
"13","ENSMUSG00000000134",5015.35175522116,0.0300597514453763,0.490566466273819,0.0612755936493178,0.951139727715529,0.97422772445423,NA
"14","ENSMUSG00000000142",2582.63590787987,1.26002962191346,0.360717154274844,3.49312364821275,0.000477405398225373,0.00564831598246463,"AXIN2"
"15","ENSMUSG00000000148",1778.93159311921,-0.103031629356271,0.107747511408358,-0.956232102343277,0.338954984523419,0.522646905538066,NA
"16","ENSMUSG00000000149",8551.81297998158,-0.477184655123849,0.312978654082901,-1.52465559199911,0.127345023597327,0.280116791397439,NA
"17","ENSMUSG00000000154",615.851623375392,1.71986158156421,0.602872570149027,2.85277796125153,0.00433388915860465,0.0291146574050181,"SLC22A18"
