"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP","JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP","7/45","370/17906",0.0189189189189189,7.52804804804805,6.36882726640958,3.50659727206064e-05,0.132658834331912,0.123120804630153,"Sptbn1/Cdc42ep3/Crim1/Tsc22d2/Fbxo22/Epha2/Cltb",7
"GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY","4/45","82/17906",0.048780487804878,19.410298102981,8.38698168262872,5.27582868775157e-05,0.132658834331912,0.123120804630153,"Crim1/Fgfrl1/Btc/Epha2",4
"REACTOME_RHOV_GTPASE_CYCLE","REACTOME_RHOV_GTPASE_CYCLE","3/45","37/17906",0.0810810810810811,32.2630630630631,9.55482635087085,0.000108557510074178,0.132658834331912,0.123120804630153,"Sptan1/Sptbn1/Epha2",3
"GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY","GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY","4/45","100/17906",0.04,15.9164444444444,7.50797235345363,0.000114448818524224,0.132658834331912,0.123120804630153,"Crim1/Fgfrl1/Btc/Epha2",4
"REACTOME_RHOU_GTPASE_CYCLE","REACTOME_RHOU_GTPASE_CYCLE","3/45","40/17906",0.075,29.8433333333333,9.16647406805269,0.000137311632047722,0.132658834331912,0.123120804630153,"Sptan1/Sptbn1/Epha2",3
"GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_DN","GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_DN","5/45","203/17906",0.0246305418719212,9.8007662835249,6.32973613956196,0.000150663071359355,0.132658834331912,0.123120804630153,"Sbds/Cdc42ep3/Synpo2/Dock8/Epha2",5
"GOBP_OVULATION_FROM_OVARIAN_FOLLICLE","GOBP_OVULATION_FROM_OVARIAN_FOLLICLE","2/45","10/17906",0.2,79.5822222222222,12.4763300418412,0.000274372471296265,0.181115710557304,0.168093682771137,"Lep/Adamts1",2
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP","BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP","3/45","57/17906",0.0526315789473684,20.9426900584795,7.5692832464084,0.000394699476239046,0.181115710557304,0.168093682771137,"Peg10/Adamts5/Adamts1",3
"GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION","GOBP_REGULATION_OF_ACTIN_FILAMENT_ORGANIZATION","5/45","262/17906",0.0190839694656489,7.59372349448685,5.39663923694049,0.000488937386201978,0.181115710557304,0.168093682771137,"Sptan1/Sptbn1/Cdc42ep3/Rock2/Synpo2",5
"GOBP_HEART_VALVE_MORPHOGENESIS","GOBP_HEART_VALVE_MORPHOGENESIS","3/45","63/17906",0.0476190476190476,18.9481481481481,7.16302582534781,0.000530070471023352,0.181115710557304,0.168093682771137,"Adamts5/Rock2/Fgfrl1",3
