"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP","SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP","9/49","449/17906",0.0200445434298441,7.32484887050589,7.10999786986963,3.05146710089354e-06,0.0128741396986698,0.0123439874407725,"Plac8/Fxyd3/Clic6/Nipal1/Usp2/Trim2/S100a14/Cldn23/Hebp2",9
"CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP","CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP","8/49","431/17906",0.0185614849187935,6.78289691746768,6.36585067598424,2.00446707753171e-05,0.0208754251153973,0.0200157829164985,"Tmem30b/Fxyd3/Zkscan1/Nectin4/Fam102a/S100a14/Nebl/Ttc39a",8
"GOMF_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOMF_MAGNESIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","3/49","20/17906",0.15,54.8142857142857,12.6135379500512,2.12464084128003e-05,0.0208754251153973,0.0200157829164985,"Nipal1/Nipal2/Slc41a2",3
"HOLLERN_EMT_BREAST_TUMOR_DN","HOLLERN_EMT_BREAST_TUMOR_DN","5/49","124/17906",0.0403225806451613,14.7350230414747,8.03953416836716,2.19450278706787e-05,0.0208754251153973,0.0200157829164985,"Tmem30b/Fxyd3/Nectin4/Calml3/Nipal2",5
"GOBP_MAGNESIUM_ION_TRANSPORT","GOBP_MAGNESIUM_ION_TRANSPORT","3/49","21/17906",0.142857142857143,52.2040816326531,12.2984593439535,2.47397785202623e-05,0.0208754251153973,0.0200157829164985,"Nipal1/Nipal2/Slc41a2",3
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP","WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP","5/49","140/17906",0.0357142857142857,13.0510204081633,7.49849254874455,3.9331458302819e-05,0.0276565704299322,0.0265176832031111,"Tmem30b/Plac8/S100a14/Cldn23/Cxxc5",5
"GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN","GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN","5/49","152/17906",0.0328947368421053,12.0206766917293,7.14764379978519,5.82307749084268e-05,0.0350965199055218,0.0336512583418172,"Plac8/Clip4/Trim2/Gldc/Slco1a5",5
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN","5/49","169/17906",0.029585798816568,10.8114961961116,6.71304351693116,9.62034932799405e-05,0.0507353172685086,0.0486460558782647,"Acpp/Arl4c/Nipal1/Pxylp1/Nebl",5
"WU_CELL_MIGRATION","WU_CELL_MIGRATION","5/49","176/17906",0.0284090909090909,10.3814935064935,6.55171355866235,0.000116450620016097,0.0545894628719904,0.0523414892072352,"Tmem30b/Plac8/Fxyd3/Arl4c/S100a14",5
"GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN","GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN","5/49","200/17906",0.025,9.13571428571429,6.06082032874428,0.000211553896307068,0.089254588851952,0.0855791182640065,"Acpp/Pxylp1/Zkscan1/Scml4/S100a14",5
