"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN","GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_DN","5/47","152/17517",0.0328947368421053,12.2599384098544,7.23169930601816,5.26607305307415e-05,0.0940393587384205,0.0938102180007538,"Plac8/Clip4/Trim2/Gldc/Slco1a5",5
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN","5/47","169/17517",0.029585798816568,11.026690167443,6.79354075970585,8.70734803133523e-05,0.0940393587384205,0.0938102180007538,"Acpp/Arl4c/Nipal1/Pxylp1/Nebl",5
"GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN","GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN","5/47","200/17517",0.025,9.31755319148936,6.13612504070735,0.000191766123395033,0.138071608844424,0.137735177048994,"Acpp/Pxylp1/Zkscan1/Scml4/S100a14",5
"GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP","GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP","4/47","166/17517",0.0240963855421687,8.98077416047168,5.35866681969384,0.00101000795905251,0.169107229425664,0.168695174773067,"Serinc5/Pxylp1/Clip4/Scml4",4
"GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN","GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_DN","4/47","173/17517",0.023121387283237,8.61739023490346,5.22245334296935,0.00117701429036216,0.169107229425664,0.168695174773067,"Plac8/Fam167a/Arl4c/Fam102a",4
"GSE25677_MPL_VS_R848_STIM_BCELL_UP","GSE25677_MPL_VS_R848_STIM_BCELL_UP","4/47","173/17517",0.023121387283237,8.61739023490346,5.22245334296935,0.00117701429036216,0.169107229425664,0.168695174773067,"Plac8/Zkscan1/Emx2/Nebl",4
"GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP","GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP","4/47","177/17517",0.0225988700564972,8.42264695275875,5.14802723495144,0.0012806852056139,0.169107229425664,0.168695174773067,"Serinc5/Arl4c/Scml4/Fam102a",4
"GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN","GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN","4/47","189/17517",0.0211640211640212,7.88787571766295,4.93812329790892,0.00162992629151078,0.169107229425664,0.168695174773067,"Serinc5/Arsg/Fam102a/Nipal2",4
"GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP","GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP","4/47","190/17517",0.0210526315789474,7.84636058230683,4.92146982007449,0.00166173174225596,0.169107229425664,0.168695174773067,"Gprc5c/Extl1/Gldc/Sqle",4
"GSE7852_TREG_VS_TCONV_DN","GSE7852_TREG_VS_TCONV_DN","4/47","196/17517",0.0204081632653061,7.60616587060356,4.8240408140753,0.00186170272334555,0.169107229425664,0.168695174773067,"Arl4c/Pxylp1/Scml4/Fam102a",4
